Model name,Num parameters,R^2,Akaike weight,Parameter names,Parameter values
liebig_monod,3,0.4382055763599848,4.09011006162316e-31,zmax;c1;c2,0.6195520135313249;65.94091567236318;99.90428986596856
liebig_monod_rmin,5,0.9477599260450701,0.23615757712351704,zmax;c1;c2;R1min;R2min,0.6840867834627574;15.48704348311549;82.00083348950558;0.029003290826049397;4.905518135316457e-14
liebig_hill,5,0.5421546956492866,1.2352431212929859e-29,zmax;c1;c2;n1;n2,0.793396591331641;32.35401286702092;68.4349164153972;0.39250625015024;0.8541392745726752
liebig_hill_rmin,7,0.9508378649597228,0.1095536349687192,zmax;c1;c2;n1;n2;R1min;R2min,0.6583713430136353;6.98636220870601;85.43367134833674;1.9220603429106404;1.1236358146117127;0.08041418272009881;2.2767096649143516e-07
liebig_blackman,3,-0.16326112982424812,1.3450586557282684e-40,zmax;c1;c2,0.5968551214821065;11.05566211132342;37.56868539127802
liebig_blackman_rmin,5,0.862468581334635,5.771087931818201e-14,zmax;c1;c2;R1min;R2min,0.6442564379988369;2.012124551824998;1.3324641279662708;0.1488860766178031;0.33251699520439293
liebig_bertalanffy,3,0.3084421665379212,8.020520729732114e-34,zmax;c1;c2,0.5652422320615454;68.42079601554111;84.39889033473692
liebig_bertalanffy_rmin,5,0.9475360287682046,0.20772106548323005,zmax;c1;c2;R1min;R2min,0.6390645733454438;9.423960058423106;43.42298814744251;0.05677727398977875;0.008977970514175981
multiplicative_monod,3,0.4467115196475877,6.464112001493247e-31,zmax;c1;c2,0.6202369960789407;83.30032076917516;122.09716198564726
multiplicative_monod_rmin,5,0.9146062459001394,9.34398604568608e-08,zmax;c1;c2;R1min;R2min,0.6679987740480531;22.121866409940342;132.76603704808173;0.024219309231672904;5.14711686930553e-19
multiplicative_hill,5,0.5170898129251332,2.4964585903151024e-30,zmax;c1;c2;n1;n2,0.7347734088174716;67.36508353530077;133.67542072402154;0.43854866391829733;1.0895862325079226
multiplicative_hill_rmin,7,0.9156773680017831,1.0238214804702118e-08,zmax;c1;c2;n1;n2;R1min;R2min,0.6518390567122951;13.992808611413507;122.94694005626857;1.3952985100928141;1.0745076500276003;0.04177286781530145;3.2405947099741845e-16
multiplicative_blackman,3,-0.20771931290011625,4.365936147207603e-41,zmax;c1;c2,0.5909055058325146;11.254896859085624;40.08327456562583
multiplicative_blackman_rmin,5,0.8027545313553165,1.1563900094371568e-18,zmax;c1;c2;R1min;R2min,0.6432704746630988;1.1287040343900778;0.9890845215548648;0.3138815465261109;0.49340577686335924
multiplicative_bertalanffy,3,0.29478685476251776,4.461138922119732e-34,zmax;c1;c2,0.5600166084936821;76.16643264143926;90.92308664945269
multiplicative_bertalanffy_rmin,5,0.9082071404738494,1.0691740305500689e-08,zmax;c1;c2;R1min;R2min,0.6260488365419431;10.881616650730354;42.12514107197436;0.05574363660894324;0.014120245274105398
pat,3,0.45311150198420724,9.16418887591781e-31,zmax;c1;c2,0.6243481391133048;67.91388257155546;100.99190181273602
pat_rmin,5,0.9487250257554446,0.4131919485481627,zmax;c1;c2;R1min;R2min,0.6863747086670262;16.684910304386754;89.32714748933404;0.027780838884096066;3.2224270045456906e-18
additive,3,0.46100131647711295,1.4171851208164838e-30,zmax;c1;c2,0.6286064980795947;74.9985558807537;108.41725495035
additive_rmin,5,0.936692156773075,0.0007406104412771875,zmax;c1;c2;R1min;R2min,0.6842001354591878;19.78033867072127;107.69113349789276;0.024830190900010343;1.6892006254872397e-17
mankad_bungay,3,0.43357513171379225,3.197336511854197e-31,zmax;c1;c2,0.6191365028105675;57.68916447732942;91.71465622797942
mankad_bungay_rmin,5,0.9331765739631104,0.00014637039087637648,zmax;c1;c2;R1min;R2min,0.6796457314122396;14.398698299741183;72.00121666270212;0.02747790767108036;1.3016648298907616e-18
generalized_additive,4,0.5065683229384261,5.037438287812826e-30,zmax;c1;c2;q,0.7642683488016038;456.9582796540288;1175.3227103664044;0.48776470905196906
generalized_additive_rmin,6,0.946580050739699,0.0324886786727164,zmax;c1;c2;q;R1min;R2min,0.6428018850376762;4.34801355715349;19.57294554569223;2.6278374501439714;0.0702018103655073;0.012025159906903457
saito_sub,3,0.4998642252596204,1.3378890347929733e-29,zmax;c1;c2,0.5558899110006488;53.86060573640098;1.3686133407184382
saito_sub_rmin,5,0.7320170779740969,1.1751730662627907e-22,zmax;c1;c2;R1min;R2min,0.5951532039046179;20.621736870291237;0.17644924911955748;0.02180991405605438;0.000163172954982007
mean_monod_sub,3,0.864949820634818,1.5282793941865994e-12,zmax;c1;c2,0.6420388198375833;12.281314106578147;75.39749628981797
mean_monod_sub_rmin,5,0.8649498206348594,9.964612560040338e-14,zmax;c1;c2;R1min;R2min,0.6420387745278283;12.281323565607138;75.39749724418584;6.528317204527846e-20;1.4989556961972757e-21
chem_depend,3,0.2763093875140985,2.0533810223998522e-34,zmax;c1;c2,0.5551039261344362;94.93362712494414;53.89725627327171
chem_depend_rmin,5,0.7575617466237359,2.3729084432572724e-21,zmax;c1;c2;R1min;R2min,0.609819860890276;20.124456123019;38.430081187526035;0.032782885226659765;0.005380247153987506
